{'time': 38.6, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 38.97, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 39.03, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 39.47, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 39.57, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 40.47, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 40.5, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 40.8, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 40.87, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 40.93, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 40.97, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 41.23, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 41.5, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 41.53, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 41.57, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 41.6, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 41.77, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 41.9, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 41.93, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 43.87, 'color': 'yellow', 'zone': 1, 'Event': 'Exit'}
{'time': 46.57, 'color': 'dark-green', 'zone': 3, 'Event': 'Exit'}
{'time': 46.77, 'color': 'dark-green', 'zone': 2, 'Event': 'Entry'}
{'time': 46.8, 'color': 'dark-green', 'zone': 2, 'Event': 'Exit'}
{'time': 46.8, 'color': 'dark-green', 'zone': 1, 'Event': 'Entry'}
{'time': 46.87, 'color': 'dark-green', 'zone': 1, 'Event': 'Exit'}
{'time': 48.8, 'color': 'yellow', 'zone': 1, 'Event': 'Entry'}
{'time': 48.83, 'color': 'yellow', 'zone': 1, 'Event': 'Exit'}
{'time': 48.83, 'color': 'yellow', 'zone': 2, 'Event': 'Entry'}
